measure_id,measure_name,location_id,location_name,iso3,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,147,Libya,LBY,1,Male,27,Age-standardized,973,Substance use disorders,3,Rate,2023,3.860572558203944,7.015618784511972,1.9230572699180208
1,Deaths,147,Libya,LBY,2,Female,27,Age-standardized,973,Substance use disorders,3,Rate,2023,0.8749145203946286,1.6222759484142573,0.44080569499799527
1,Deaths,147,Libya,LBY,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,2023,2.4107803326366186,3.9990298591998634,1.4054540380154832
1,Deaths,25323,Bayelsa,,1,Male,27,Age-standardized,973,Substance use disorders,3,Rate,2023,3.2631173683326686,5.764680927036126,1.5881748964407925
1,Deaths,25323,Bayelsa,,2,Female,27,Age-standardized,973,Substance use disorders,3,Rate,2023,0.6773242715491226,1.1202722666685458,0.39219331425434767
1,Deaths,25323,Bayelsa,,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,2023,1.655379602344954,2.6334506362068444,0.9431271652248207
1,Deaths,44,Bosnia and Herzegovina,BIH,1,Male,27,Age-standardized,973,Substance use disorders,3,Rate,2023,5.5338776291322676,7.609985647968304,3.840673523143853
1,Deaths,44,Bosnia and Herzegovina,BIH,2,Female,27,Age-standardized,973,Substance use disorders,3,Rate,2023,1.0234216164432273,1.4240450937683773,0.7078688309460501
1,Deaths,44,Bosnia and Herzegovina,BIH,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,2023,3.1892220682382986,4.16139883464878,2.374777119088542
1,Deaths,4669,Tabasco,,1,Male,27,Age-standardized,973,Substance use disorders,3,Rate,2023,2.9561236615112105,3.5091004611412053,2.4255333545264794
1,Deaths,4669,Tabasco,,2,Female,27,Age-standardized,973,Substance use disorders,3,Rate,2023,0.27661997080397266,0.35197939229900793,0.2206428263712165
1,Deaths,4669,Tabasco,,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,2023,1.5568289094212857,1.8179503419088279,1.3182093242339825
1,Deaths,182,Malawi,MWI,1,Male,27,Age-standardized,973,Substance use disorders,3,Rate,2023,6.320212567966028,10.332844146892679,4.116888556392738
1,Deaths,182,Malawi,MWI,2,Female,27,Age-standardized,973,Substance use disorders,3,Rate,2023,1.5700445514737276,2.3746439756719755,1.0180412923484825
1,Deaths,182,Malawi,MWI,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,2023,3.7968069163635056,5.644218232598839,2.659565490735833
1,Deaths,4726,Bali,,1,Male,27,Age-standardized,973,Substance use disorders,3,Rate,2023,0.9145119307006221,1.5372785832974878,0.5707498879275898
1,Deaths,4726,Bali,,2,Female,27,Age-standardized,973,Substance use disorders,3,Rate,2023,0.1095904871804032,0.20238294005014368,0.059148369419438296
1,Deaths,4726,Bali,,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,2023,0.5130358516536535,0.8173512339892404,0.3352957036279536
1,Deaths,4709,Aceh,,1,Male,27,Age-standardized,973,Substance use disorders,3,Rate,2023,0.6007651589968753,0.9686894062700009,0.36944431354909174
1,Deaths,4709,Aceh,,2,Female,27,Age-standardized,973,Substance use disorders,3,Rate,2023,0.1176108818205043,0.2053804276187467,0.06208683419430027
1,Deaths,4709,Aceh,,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,2023,0.3408459940712185,0.5044052040088579,0.21995814885422338
1,Deaths,94366,Sahel Region,,1,Male,27,Age-standardized,973,Substance use disorders,3,Rate,2023,2.5651887910604674,4.047751921516023,1.6200595729519596
1,Deaths,94366,Sahel Region,,2,Female,27,Age-standardized,973,Substance use disorders,3,Rate,2023,0.9732951833064631,1.483427161830677,0.6120939062331446
1,Deaths,94366,Sahel Region,,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,2023,1.7538036302172881,2.566251188390243,1.2255797813362095
1,Deaths,44534,Commonwealth,,1,Male,27,Age-standardized,973,Substance use disorders,3,Rate,2023,3.4415750733091226,4.745278994994648,2.6280649472041295
1,Deaths,44534,Commonwealth,,2,Female,27,Age-standardized,973,Substance use disorders,3,Rate,2023,1.1276667052901832,1.4286861275304477,0.881131426581418
1,Deaths,44534,Commonwealth,,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,2023,2.271511299531277,2.9149485622645295,1.8211885420427965
1,Deaths,79,Finland,FIN,1,Male,27,Age-standardized,973,Substance use disorders,3,Rate,2023,16.218570958704827,18.623626826261862,13.998674798785071
1,Deaths,79,Finland,FIN,2,Female,27,Age-standardized,973,Substance use disorders,3,Rate,2023,5.081328676477071,5.919693860183622,4.345566616554498
1,Deaths,79,Finland,FIN,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,2023,10.661051631170299,11.904831711048406,9.5384182931437
1,Deaths,53547,Batanes,,1,Male,27,Age-standardized,973,Substance use disorders,3,Rate,2023,11.318691939359331,16.650143042396255,7.612725011505459
1,Deaths,53547,Batanes,,2,Female,27,Age-standardized,973,Substance use disorders,3,Rate,2023,0.6394495802199257,0.9509131348727076,0.38261003944402266
1,Deaths,53547,Batanes,,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,2023,5.996440940091115,8.656516892765243,4.056973810188134
1,Deaths,4765,Paraná,,1,Male,27,Age-standardized,973,Substance use disorders,3,Rate,2023,10.50443748804903,11.477460793040738,9.548308166159357
1,Deaths,4765,Paraná,,2,Female,27,Age-standardized,973,Substance use disorders,3,Rate,2023,1.0041954644862516,1.1909247481211491,0.8338459953172814
1,Deaths,4765,Paraná,,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,2023,5.500028351201309,6.000347116624226,5.040087628403052
1,Deaths,35461,Ehime,,1,Male,27,Age-standardized,973,Substance use disorders,3,Rate,2023,0.9050287878602943,1.1045979134539592,0.7246014068728119
